tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
649,12/1/19 9:48 AM,12/1/19 9:59 AM,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,29545,Customer,1982,1
677,12/1/19 9:49 AM,12/1/19 10:01 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3267,Morris Canal,40.71241882,-74.03852552,29522,Subscriber,1977,2
470,12/1/19 9:50 AM,12/1/19 9:58 AM,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,29479,Subscriber,1979,1
511,12/1/19 9:50 AM,12/1/19 9:59 AM,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,29486,Customer,1990,1
359,12/1/19 9:51 AM,12/1/19 9:57 AM,3273,Manila & 1st,40.72165072,-74.04288411,3276,Marin Light Rail,40.71458404,-74.04281706,29520,Subscriber,1988,1
277,12/1/19 9:52 AM,12/1/19 9:56 AM,3213,Van Vorst Park,40.71848892,-74.04772663,3276,Marin Light Rail,40.71458404,-74.04281706,26226,Subscriber,1985,1
296,12/1/19 9:56 AM,12/1/19 10:01 AM,3275,Columbus Drive,40.7183552,-74.03891444,3638,Washington St,40.7242941,-74.0354826,29219,Subscriber,1989,1
319,12/1/19 9:58 AM,12/1/19 10:03 AM,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,29209,Subscriber,1994,1
287,12/1/19 10:02 AM,12/1/19 10:06 AM,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,29552,Subscriber,1979,1
497,12/1/19 10:02 AM,12/1/19 10:10 AM,3639,Harborside,40.7192517,-74.034234,3483,Montgomery St,40.71942,-74.05099,26198,Subscriber,1992,1
496,12/1/19 10:02 AM,12/1/19 10:10 AM,3639,Harborside,40.7192517,-74.034234,3483,Montgomery St,40.71942,-74.05099,29583,Subscriber,1988,2
275,12/1/19 10:02 AM,12/1/19 10:07 AM,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,26290,Subscriber,1979,2
812,12/1/19 10:03 AM,12/1/19 10:17 AM,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,29126,Customer,1995,2
128,12/1/19 10:05 AM,12/1/19 10:08 AM,3187,Warren St,40.7211236,-74.03805095,3275,Columbus Drive,40.7183552,-74.03891444,29624,Subscriber,1964,2
398,12/1/19 10:09 AM,12/1/19 10:16 AM,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.04772663,29572,Subscriber,1964,2
367,12/1/19 10:14 AM,12/1/19 10:20 AM,3195,Sip Ave,40.7308971,-74.06391263,3207,Oakland Ave,40.7376037,-74.0524783,29209,Subscriber,1994,1
229,12/1/19 10:18 AM,12/1/19 10:21 AM,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,29515,Subscriber,1964,2
153,12/1/19 10:18 AM,12/1/19 10:21 AM,3681,Grand St,40.71517768,-74.03768331,3275,Columbus Drive,40.7183552,-74.03891444,26185,Subscriber,1985,1
95,12/1/19 10:20 AM,12/1/19 10:22 AM,3267,Morris Canal,40.71241882,-74.03852552,3214,Essex Light Rail,40.7127742,-74.0364857,29522,Subscriber,1978,2
355,12/1/19 10:24 AM,12/1/19 10:30 AM,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,29659,Subscriber,1964,1
318,12/1/19 10:27 AM,12/1/19 10:32 AM,3677,Glenwood Ave,40.72755147,-74.07106072,3195,Sip Ave,40.7308971,-74.06391263,29125,Subscriber,1990,2
375,12/1/19 10:28 AM,12/1/19 10:34 AM,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,29609,Subscriber,1988,1
160,12/1/19 10:28 AM,12/1/19 10:31 AM,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,29280,Subscriber,1980,2
237,12/1/19 10:31 AM,12/1/19 10:35 AM,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29275,Subscriber,1983,2
236,12/1/19 10:31 AM,12/1/19 10:35 AM,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,26271,Subscriber,1984,2
166,12/1/19 10:36 AM,12/1/19 10:38 AM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,29447,Subscriber,1975,1
403,12/1/19 10:38 AM,12/1/19 10:45 AM,3640,Journal Square,40.73367,-74.0625,3209,Brunswick St,40.7241765,-74.0506564,29286,Subscriber,1974,1
203,12/1/19 10:38 AM,12/1/19 10:42 AM,3187,Warren St,40.7211236,-74.03805095,3186,Grove St PATH,40.71958612,-74.04311746,26296,Subscriber,1983,1
126,12/1/19 10:38 AM,12/1/19 10:41 AM,3214,Essex Light Rail,40.7127742,-74.0364857,3267,Morris Canal,40.71241882,-74.03852552,26244,Subscriber,1978,2
